Client ID,Service Start Date,pass/fail
17094,7/2/2022,pass
17094,7/2/2022,pass
17094,7/2/2022,pass
17094,7/2/2022,pass
6073,7/2/2022,pass
6073,7/2/2022,pass
6073,7/2/2022,pass
6073,7/2/2022,pass
6073,7/2/2022,pass
12438,7/2/2022,fail
3230,7/2/2022,fail
12438,7/2/2022,fail
13752,7/2/2022,fail
5877,1/6/2019,fail
9143,6/6/2019,fail
1864,6/6/2019,fail
13752,7/2/2022,fail
4444,6/6/2019,fail
832,6/6/2019,fail
3230,7/2/2022,fail
15522,7/2/2022,fail
15522,7/2/2022,fail
8840,6/6/2019,fail
10189,7/2/2022,fail
10189,7/2/2022,fail
10189,7/2/2022,fail
4305,7/19/2019,fail
5025,1/6/2019,fail
362,6/2/2021,fail
10363,6/2/2021,fail
9143,6/6/2019,fail
752,1/6/2019,fail
362,6/2/2021,fail
362,6/2/2021,fail
13340,6/2/2021,fail
13340,6/2/2021,fail
10917,6/2/2021,fail
10917,6/2/2021,fail
10363,6/2/2021,fail
12530,6/2/2021,fail
709,6/2/2021,fail
8479,4/11/2019,fail
8220,6/2/2021,fail
709,6/2/2021,fail
166,4/11/2019,fail
709,6/2/2021,fail
13680,6/2/2021,fail
13680,6/2/2021,fail
9429,4/11/2019,fail
8917,6/2/2021,fail
12530,6/2/2021,fail
7759,6/6/2019,fail
9621,4/11/2019,fail
9201,6/2/2021,fail
8917,6/2/2021,fail
8917,6/2/2021,fail
1865,6/6/2019,fail
9201,6/2/2021,fail
6180,1/5/2019,fail
81,6/2/2021,fail
81,6/2/2021,fail
2398,6/2/2021,fail
16563,7/2/2022,fail
5269,6/2/2021,fail
1864,6/6/2019,fail
7942,6/2/2021,fail
5269,6/2/2021,fail
16563,7/2/2022,fail
16563,7/2/2022,fail
7942,6/2/2021,fail
9634,6/2/2021,fail
9634,6/2/2021,fail
9634,6/2/2021,fail
4444,6/2/2021,pass
15520,7/2/2022,fail
15520,7/2/2022,fail
8049,1/5/2019,fail
5025,1/5/2019,fail
362,7/2/2022,fail
362,7/2/2022,fail
3230,1/5/2019,fail
80,6/6/2019,fail
362,7/2/2022,fail
362,7/2/2022,fail
5230,1/5/2019,fail
5220,6/6/2019,fail
2476,1/5/2019,fail
9655,7/19/2019,fail
752,1/5/2019,fail
7759,6/6/2019,fail
9634,7/2/2022,fail
9634,7/2/2022,fail
9634,7/2/2022,fail
9634,7/2/2022,fail
619,6/6/2019,fail
80,7/28/2019,fail
832,6/6/2019,fail
331,7/2/2022,fail
331,7/2/2022,fail
331,7/2/2022,fail
331,7/2/2022,fail
5956,7/28/2019,fail
4530,7/28/2019,fail
4302,7/22/2019,fail
1307,7/2/2022,fail
166,4/11/2019,fail
3907,7/22/2019,fail
4444,4/11/2019,fail
8171,4/11/2019,fail
4530,7/28/2019,fail
1307,7/2/2022,fail
4305,6/21/2019,fail
5956,7/28/2019,fail
38,7/22/2019,fail
38,7/22/2019,fail
17230,7/2/2022,fail
9242,3/27/2019,fail
9242,3/27/2019,fail
9621,3/27/2019,fail
8479,3/27/2019,fail
4444,4/11/2019,fail
80,4/11/2019,fail
10489,7/22/2019,fail
8490,3/27/2019,fail
752,3/27/2019,fail
9655,7/22/2019,fail
8490,3/27/2019,fail
80,4/11/2019,fail
2274,3/27/2019,fail
7759,3/27/2019,fail
17230,7/2/2022,fail
17230,7/2/2022,fail
5391,7/2/2022,fail
6590,3/28/2019,fail
