Client ID,Service Start Date
17094,7/2/2022
17094,7/2/2022
17094,7/2/2022
17094,7/2/2022
6073,7/2/2022
6073,7/2/2022
6073,7/2/2022
6073,7/2/2022
6073,7/2/2022
12438,7/2/2022
3230,7/2/2022
12438,7/2/2022
13752,7/2/2022
13752,7/2/2022
3230,7/2/2022
15522,7/2/2022
15522,7/2/2022
10189,7/2/2022
10189,7/2/2022
10189,7/2/2022
362,6/2/2021
10363,6/2/2021
362,6/2/2021
362,6/2/2021
13340,6/2/2021
13340,6/2/2021
10917,6/2/2021
10917,6/2/2021
10363,6/2/2021
12530,6/2/2021
709,6/2/2021
8220,6/2/2021
709,6/2/2021
709,6/2/2021
13680,6/2/2021
13680,6/2/2021
8917,6/2/2021
12530,6/2/2021
9201,6/2/2021
8917,6/2/2021
8917,6/2/2021
9201,6/2/2021
81,6/2/2021
81,6/2/2021
2398,6/2/2021
16563,7/2/2022
5269,6/2/2021
7942,6/2/2021
5269,6/2/2021
16563,7/2/2022
16563,7/2/2022
7942,6/2/2021
9634,6/2/2021
9634,6/2/2021
9634,6/2/2021
4444,6/2/2021
15520,7/2/2022
15520,7/2/2022
362,7/2/2022
362,7/2/2022
362,7/2/2022
362,7/2/2022
9634,7/2/2022
9634,7/2/2022
9634,7/2/2022
9634,7/2/2022
331,7/2/2022
331,7/2/2022
331,7/2/2022
331,7/2/2022
1307,7/2/2022
1307,7/2/2022
17230,7/2/2022
17230,7/2/2022
17230,7/2/2022
5391,7/2/2022
5391,7/2/2022
5391,7/2/2022
5391,7/2/2022
5391,7/2/2022
6590,7/2/2022
6590,7/2/2022
17094,7/3/2022
17094,7/3/2022
17094,7/3/2022
17094,7/3/2022
17094,7/3/2022
17094,7/3/2022
17094,7/3/2022
6073,7/3/2022
6073,7/3/2022
6073,7/3/2022
6073,7/3/2022
6073,7/3/2022
6590,7/3/2022
6590,7/3/2022
1386,7/3/2022
1386,7/3/2022
362,7/3/2022
362,7/3/2022
16782,7/3/2022
16782,7/3/2022
16782,7/3/2022
16132,7/3/2022
16132,7/3/2022
9558,7/3/2022
9558,7/3/2022
9558,7/3/2022
13655,7/3/2022
13655,7/3/2022
13655,7/3/2022
13655,7/3/2022
13655,6/29/2022
13655,6/29/2022
13655,7/2/2022
13655,7/2/2022
13655,7/2/2022
13655,7/2/2022
15520,7/3/2022
15520,7/3/2022
2440,7/3/2022
2440,7/3/2022
2440,7/3/2022
17230,7/3/2022
17230,7/3/2022
13340,12/24/2020
13340,12/24/2020
6879,12/24/2020
4444,12/24/2020
6879,12/24/2020
12438,12/24/2020
12438,12/24/2020
12438,12/24/2020
4444,12/24/2020
13127,12/24/2020
13127,12/24/2020
9078,12/23/2020
10980,12/23/2020
10980,12/23/2020
9634,12/23/2020
10363,12/24/2020
4715,12/23/2020
9624,12/23/2020
9634,12/23/2020
9634,12/23/2020
81,12/24/2020
81,12/24/2020
81,12/24/2020
9921,12/24/2020
9921,12/24/2020
9078,12/24/2020
9078,12/24/2020
9078,12/24/2020
11349,12/24/2020
11359,12/24/2020
11359,12/24/2020
11359,12/24/2020
10917,12/24/2020
10917,12/24/2020
81,12/24/2020
81,12/24/2020
81,12/24/2020
81,12/24/2020
11349,12/24/2020
11349,12/24/2020
10980,12/24/2020
10980,12/24/2020
9624,12/24/2020
9624,12/24/2020
13882,12/24/2020
13882,12/24/2020
10363,11/12/2020
794,11/12/2020
12530,11/13/2020
12530,11/13/2020
10363,11/13/2020
10917,11/13/2020
4715,11/13/2020
12502,11/10/2020
12502,11/12/2020
1605,11/12/2020
10363,11/12/2020
10917,11/12/2020
10917,11/12/2020
1605,11/12/2020
9634,11/12/2020
9078,11/12/2020
4717,11/13/2020
4717,11/13/2020
10363,11/13/2020
11751,10/10/2020
11751,10/10/2020
13010,10/10/2020
1605,11/12/2020
794,11/12/2020
13010,10/10/2020
12530,11/12/2020
977,11/12/2020
4530,10/10/2020
9634,11/13/2020
9634,11/13/2020
4530,10/10/2020
1512,10/12/2020
10917,10/12/2020
10917,10/12/2020
9558,10/11/2020
9558,10/11/2020
10917,11/13/2020
4444,11/13/2020
2642,11/13/2020
12530,10/12/2020
110,10/12/2020
110,10/12/2020
9078,10/12/2020
10917,11/13/2020
2642,11/13/2020
2642,11/13/2020
2642,11/13/2020
4717,11/13/2020
12530,10/12/2020
1512,10/12/2020
4715,11/13/2020
13248,10/12/2020
13248,10/12/2020
13248,10/12/2020
9078,10/12/2020
9624,11/15/2020
9624,11/15/2020
11359,11/13/2020
7631,11/13/2020
7631,11/13/2020
5361,6/30/2021
5361,6/30/2021
11559,6/29/2021
11559,6/29/2021
15035,6/29/2021
5361,6/30/2021
794,7/23/2021
13578,11/2/2020
10363,11/2/2020
13578,11/2/2020
110,11/2/2020
12471,11/2/2020
10363,11/2/2020
12471,11/2/2020
4715,11/2/2020
4715,11/2/2020
4444,11/2/2020
2207,11/3/2020
4444,11/2/2020
4715,11/2/2020
4715,11/2/2020
6205,11/3/2020
